Index,Name,OVR,Position,Alternative positions,Age,Nation,League,Team
337,Milan Škriniar,81,CB,,29,Slovakia,Ligue 1 McDonald's,Paris SG
338,Dominic Solanke,81,ST,,27,England,Premier League,Spurs
339,David Soria,81,GK,,31,Spain,LALIGA EA SPORTS,Getafe CF
340,Raheem Sterling,81,LM,"RM, LW",29,England,Premier League,Arsenal
341,Dominik Szoboszlai,81,CAM,CM,23,Hungary,Premier League,Liverpool
342,Youri Tielemans,81,CM,"CDM, CAM",27,Belgium,Premier League,Aston Villa
343,Manuel Ugarte,81,CDM,CM,23,Uruguay,Premier League,Man Utd
344,Deniz Undav,81,ST,CAM,28,Germany,Bundesliga,VfB Stuttgart
345,Álvaro Valles,81,GK,,27,Spain,LALIGA EA SPORTS,UD Las Palmas
346,Lucas Vázquez,81,RB,,33,Spain,LALIGA EA SPORTS,Real Madrid
347,Joey Veerman,81,CM,"CDM, CAM",25,Holland,Eredivisie,PSV
348,Vivian,81,CB,,25,Spain,LALIGA EA SPORTS,Athletic Club
349,Callum Wilson,81,ST,,32,England,Premier League,Newcastle Utd
350,Lamine Yamal,81,RW,"LW, RM",17,Spain,LALIGA EA SPORTS,FC Barcelona
351,Wilfried Zaha,81,LM,LW,31,Côte d'Ivoire,Ligue 1 McDonald's,OL
352,Piotr Zieliński,81,CM,CDM,30,Poland,Serie A Enilive,Lombardia FC
353,Zubimendi,81,CDM,CM,25,Spain,LALIGA EA SPORTS,Real Sociedad
354,Salem Al Dawsari,80,LM,LW,33,Saudi Arabia,ROSHN Saudi League,Al Hilal
355,Ali Al Musrati,80,CDM,CM,28,Libya,Trendyol Süper Lig,Beşiktaş
356,Jordi Alba,80,LB,,35,Spain,MLS,Inter Miami CF
357,Toby Alderweireld,80,CB,,35,Belgium,1A Pro League,Royal Antwerp FC
358,Joachim Andersen,80,CB,,28,Denmark,Premier League,Fulham
359,Benjamin André,80,CDM,CM,34,France,Ligue 1 McDonald's,LOSC Lille
360,Marko Arnautović,80,ST,,35,Austria,Serie A Enilive,Lombardia FC
361,Maximilian Arnold,80,CDM,CM,30,Germany,Bundesliga,VfL Wolfsburg
362,Fredrik Aursnes,80,RB,"LB, LM",28,Norway,Liga Portugal,SL Benfica
363,Simon Banza,80,ST,,28,Congo DR,Liga Portugal,SC Braga
364,Roberto Firmino,80,CAM,ST,32,Brazil,ROSHN Saudi League,Al Ahli
365,Bradley Barcola,80,LW,"RW, LM",22,France,Ligue 1 McDonald's,Paris SG
366,Harvey Barnes,80,LW,LM,26,England,Premier League,Newcastle Utd
367,Christoph Baumgartner,80,CAM,ST,25,Austria,Bundesliga,RB Leipzig
368,Walter Benítez,80,GK,,31,Argentina,Eredivisie,PSV
369,Gonçalo Inácio,80,CB,"LB, CDM",23,Portugal,Liga Portugal,Sporting CP
370,Yves Bissouma,80,CDM,CM,28,Mali,Premier League,Spurs
371,Daley Blind,80,CB,"LB, CDM",34,Holland,LALIGA EA SPORTS,Girona FC
372,Denis Bouanga,80,LW,"ST, LM",29,Gabon,MLS,LAFC
373,Yan Couto,80,RM,"RB, RW",22,Brazil,Bundesliga,Borussia Dortmund
374,Alessandro Buongiorno,80,CB,,25,Italy,Serie A Enilive,SSC Napoli
375,Davide Calabria,80,RB,,27,Italy,Serie A Enilive,Milano FC
376,Lucas Chevalier,80,GK,,22,France,Ligue 1 McDonald's,LOSC Lille
377,Samuel Chukwueze,80,RW,RM,25,Nigeria,Serie A Enilive,Milano FC
378,Jonathan Clauss,80,RB,RM,31,France,Ligue 1 McDonald's,OGC Nice
379,Kevin Danso,80,CB,,25,Austria,Ligue 1 McDonald's,RC Lens
380,Evanilson,80,ST,,24,Brazil,Premier League,AFC Bournemouth
381,De Marcos,80,RB,,35,Spain,LALIGA EA SPORTS,Athletic Club
382,Michele Di Gregorio,80,GK,,27,Italy,Serie A Enilive,Juventus
383,Eric Dier,80,CB,,30,England,Bundesliga,FC Bayern München
384,Jérémy Doku,80,LW,"RW, LM",22,Belgium,Premier League,Manchester City
385,Éderson,80,CM,CAM,25,Brazil,Serie A Enilive,Bergamo Calcio
386,Wataru Endo,80,CDM,CM,31,Japan,Premier League,Liverpool
387,Pervis Estupiñán,80,LB,,26,Ecuador,Premier League,Brighton
388,Wladimiro Falcone,80,GK,,29,Italy,Serie A Enilive,Lecce
389,João Félix,80,LW,"ST, LM",24,Portugal,Premier League,Chelsea
390,Suso,80,RM,"CAM, CM, RW",30,Spain,LALIGA EA SPORTS,Sevilla FC
391,Seko Fofana,80,CM,CDM,29,Côte d'Ivoire,ROSHN Saudi League,Ettifaq FC
392,Juan Foyth,80,RB,,26,Argentina,LALIGA EA SPORTS,Villarreal CF
393,Javi Galán,80,LB,,29,Spain,LALIGA EA SPORTS,Atlético de Madrid
394,Pepelu,80,CM,CDM,26,Spain,LALIGA EA SPORTS,Valencia CF
395,Nuno Santos,80,LM,"LB, LW",29,Portugal,Liga Portugal,Sporting CP
396,Joe Gomez,80,CB,"RB, LB",27,England,Premier League,Liverpool
397,Nicolás González,80,RW,"RM, LW",26,Argentina,Serie A Enilive,Juventus
398,Mario Götze,80,CAM,"CM, ST",32,Germany,Bundesliga,Frankfurt
399,Vincenzo Grifo,80,LM,"CAM, LW",31,Italy,Bundesliga,SC Freiburg
400,Nemanja Gudelj,80,CB,CDM,32,Serbia,LALIGA EA SPORTS,Sevilla FC
401,Albert Guðmundsson,80,ST,,27,Iceland,Serie A Enilive,Fiorentina
402,Mattéo Guendouzi,80,CM,CAM,25,France,Serie A Enilive,Latium
403,Malo Gusto,80,RB,,21,France,Premier League,Chelsea
404,Miguel Gutiérrez,80,LB,LM,23,Spain,LALIGA EA SPORTS,Girona FC
405,Amadou Haidara,80,CM,CDM,26,Mali,Bundesliga,RB Leipzig
406,Danilo Pereira,80,CB,CDM,33,Portugal,ROSHN Saudi League,Al Ittihad
407,Jordan Henderson,80,CDM,CM,34,England,Eredivisie,Ajax
408,Morten Hjulmand,80,CDM,CM,25,Denmark,Liga Portugal,Sporting CP
409,Pierre-Emile Højbjerg,80,CDM,CM,29,Denmark,Ligue 1 McDonald's,OM
410,Ibañez,80,CB,,25,Brazil,ROSHN Saudi League,Al Ahli
411,Bento,80,GK,,25,Brazil,ROSHN Saudi League,Al Nassr
412,Thomas Lemar,80,CM,LM,28,France,LALIGA EA SPORTS,Atlético de Madrid
413,Dominik Livaković,80,GK,,29,Croatia,Trendyol Süper Lig,Fenerbahçe
414,Giovani Lo Celso,80,CAM,CM,28,Argentina,LALIGA EA SPORTS,Real Betis
415,David López,80,CB,CDM,34,Spain,LALIGA EA SPORTS,Girona FC
416,Harry Maguire,80,CB,,31,England,Premier League,Man Utd
417,Reinildo,80,LB,CB,30,Mozambique,LALIGA EA SPORTS,Atlético de Madrid
418,Iván Martín,80,CAM,CM,25,Spain,LALIGA EA SPORTS,Girona FC
419,Nemanja Matić,80,CDM,CM,36,Serbia,Ligue 1 McDonald's,OL
420,Bryan Mbeumo,80,RW,"ST, RM",25,Cameroon,Premier League,Brentford
421,Facundo Medina,80,CB,,25,Argentina,Ligue 1 McDonald's,RC Lens
422,Édouard Mendy,80,GK,,32,Senegal,ROSHN Saudi League,Al Ahli
423,Dries Mertens,80,CAM,ST,37,Belgium,Trendyol Süper Lig,Galatasaray
424,Daniel Muñoz,80,RB,,28,Colombia,Premier League,Crystal Palace
425,Vedat Muriqi,80,ST,,30,Kosovo,LALIGA EA SPORTS,RCD Mallorca
426,João Mário,80,LM,"RM, CM, LW",31,Portugal,Liga Portugal,SL Benfica
427,Jesús Navas,80,RB,RM,38,Spain,LALIGA EA SPORTS,Sevilla FC
428,David Neres,80,LM,"RM, CAM, LW",27,Brazil,Serie A Enilive,SSC Napoli
429,Alexander Nübel,80,GK,,27,Germany,Bundesliga,VfB Stuttgart
430,Mario Pašalić,80,CM,CAM,29,Croatia,Serie A Enilive,Bergamo Calcio
431,Vangelis Pavlidis,80,ST,,25,Greece,Liga Portugal,SL Benfica
432,Matteo Politano,80,RW,RM,31,Italy,Serie A Enilive,SSC Napoli
433,Ivan Rakitić,80,CM,CDM,36,Croatia,Liga Hrvatska,Hajduk Split
434,Amir Rrahmani,80,CB,,30,Kosovo,Serie A Enilive,SSC Napoli
435,Ruiz de Galarreta,80,CDM,CM,31,Spain,LALIGA EA SPORTS,Athletic Club
436,Allan Saint-Maximin,80,LM,LW,27,France,Trendyol Süper Lig,Fenerbahçe
437,Davinson Sánchez,80,CB,,28,Colombia,Trendyol Süper Lig,Galatasaray
438,Diego Carlos,80,CB,,31,Brazil,Premier League,Aston Villa
439,Téji Savanier,80,CAM,CM,32,France,Ligue 1 McDonald's,Montpellier
440,Kasper Schmeichel,80,GK,,37,Denmark,Scottish Prem,Celtic
441,William Carvalho,80,CDM,CAM,32,Portugal,LALIGA EA SPORTS,Real Betis
442,Mohamed Simakan,80,CB,RB,24,France,ROSHN Saudi League,Al Nassr
443,Sebastian Szymański,80,CAM,RM,25,Poland,Trendyol Süper Lig,Fenerbahçe
444,Mehdi Taremi,80,ST,,32,Iran,Serie A Enilive,Lombardia FC
445,James Tarkowski,80,CB,,31,England,Premier League,Everton
446,Jean-Clair Todibo,80,CB,,24,France,Premier League,West Ham
447,Ivan Toney,80,ST,,28,England,Premier League,Brentford
448,Ferran Torres,80,LW,"RW, ST, LM",24,Spain,LALIGA EA SPORTS,FC Barcelona
449,Hamari Traoré,80,RB,,32,Mali,LALIGA EA SPORTS,Real Sociedad
450,Lars Unnerstall,80,GK,,34,Germany,Eredivisie,FC Twente
451,André Silva,80,ST,,28,Portugal,Bundesliga,RB Leipzig
452,Hans Vanaken,80,CAM,CM,32,Belgium,1A Pro League,Club Brugge
453,Jordan Veretout,80,CM,CDM,31,France,Ligue 1 McDonald's,OM
454,Timo Werner,80,LM,"ST, LW",28,Germany,Premier League,Spurs
455,Mats Wieffer,80,CDM,CM,24,Holland,Premier League,Brighton
456,Axel Witsel,80,CB,,35,Belgium,LALIGA EA SPORTS,Atlético de Madrid
457,Barış Alper Yılmaz,80,RM,"LM, LB, RW",24,Turkey,Trendyol Süper Lig,Galatasaray
458,Warren Zaïre-Emery,80,CM,CDM,18,France,Ligue 1 McDonald's,Paris SG
459,André-Franck Zambo Anguissa,80,CDM,CM,28,Cameroon,Serie A Enilive,SSC Napoli
460,Lucas Zelarayán,80,CAM,ST,32,Armenia,ROSHN Saudi League,Al Fateh
461,Hakim Ziyech,80,RM,"CAM, RW",31,Morocco,Trendyol Süper Lig,Galatasaray
462,Zubeldia,80,CB,,27,Spain,LALIGA EA SPORTS,Real Sociedad
463,Karim Adeyemi,79,LM,"RM, ST, LW",22,Germany,Bundesliga,Borussia Dortmund
464,Nayef Aguerd,79,CB,,28,Morocco,LALIGA EA SPORTS,Real Sociedad
465,Rayan Aït-Nouri,79,LB,LM,23,Algeria,Premier League,Wolves
466,Raúl Albiol,79,CB,,39,Spain,LALIGA EA SPORTS,Villarreal CF
467,Kepa,79,GK,,29,Spain,Premier League,AFC Bournemouth
468,Emil Audero,79,GK,,27,Italy,Serie A Enilive,Como
469,Ezequiel Ávila,79,ST,"RM, LM",30,Argentina,LALIGA EA SPORTS,Real Betis
470,Azpilicueta,79,CB,RB,35,Spain,LALIGA EA SPORTS,Atlético de Madrid
471,Álex Baena,79,LM,"ST, LW",23,Spain,LALIGA EA SPORTS,Villarreal CF
472,Alexander Bah,79,RB,,26,Denmark,Liga Portugal,SL Benfica
473,Johan Bakayoko,79,RW,RM,21,Belgium,Eredivisie,PSV
474,Leonardo Balerdi,79,CB,,25,Argentina,Ligue 1 McDonald's,OM
475,Éver Banega,79,CM,"CDM, CAM",36,Argentina,Primera División,Newell's
476,Abdülkerim Bardakcı,79,CB,LB,30,Turkey,Trendyol Süper Lig,Galatasaray
477,Yuri Berchiche,79,LB,,34,Spain,LALIGA EA SPORTS,Athletic Club
478,Steven Berghuis,79,RW,"CAM, RM",32,Holland,Eredivisie,Ajax
479,Steven Bergwijn,79,LW,LM,26,Holland,ROSHN Saudi League,Al Ittihad
480,Cristiano Biraghi,79,LB,,32,Italy,Serie A Enilive,Fiorentina
481,Marco Bizot,79,GK,,33,Holland,Ligue 1 McDonald's,Stade Brestois 29
482,Sacha Boey,79,RB,,24,France,Bundesliga,FC Bayern München
483,Giacomo Bonaventura,79,CAM,CM,35,Italy,ROSHN Saudi League,Al Shabab
484,Jarrad Branthwaite,79,CB,,22,England,Premier League,Everton
485,Brian Brobbey,79,ST,,22,Holland,Eredivisie,Ajax
486,Marcin Bułka,79,GK,,24,Poland,Ligue 1 McDonald's,OGC Nice
487,Matheus Cunha,79,ST,CAM,25,Brazil,Premier League,Wolves
488,Matty Cash,79,RB,RM,27,Poland,Premier League,Aston Villa
489,Valentin Castellanos,79,ST,,25,Argentina,Serie A Enilive,Latium
490,Catena,79,CB,,29,Spain,LALIGA EA SPORTS,CA Osasuna
491,Dani Ceballos,79,CM,CAM,28,Spain,LALIGA EA SPORTS,Real Madrid
492,Ben Chilwell,79,LB,,27,England,Premier League,Chelsea
493,Jordy Clasie,79,CDM,CM,33,Holland,Eredivisie,AZ
494,Dante,79,CB,,40,Brazil,Ligue 1 McDonald's,OGC Nice
495,Charles De Ketelaere,79,CAM,ST,23,Belgium,Serie A Enilive,Bergamo Calcio
496,Marten de Roon,79,CM,"CDM, CB",33,Holland,Serie A Enilive,Bergamo Calcio
497,Romain Del Castillo,79,RW,RM,28,France,Ligue 1 McDonald's,Stade Brestois 29
498,Ermedin Demirović,79,ST,LM,26,Bosnia and Herzegovina,Bundesliga,VfB Stuttgart
499,Sergiño Dest,79,LB,RB,23,United States,Eredivisie,PSV
500,Boulaye Dia,79,ST,,27,Senegal,Serie A Enilive,Latium
501,Samuel Lino,79,LM,"LB, LW",24,Brazil,LALIGA EA SPORTS,Atlético de Madrid
502,Lucas Digne,79,LB,,31,France,Premier League,Aston Villa
503,Stole Dimitrievski,79,GK,,30,North Macedonia,LALIGA EA SPORTS,Valencia CF
504,Axel Disasi,79,CB,RB,26,France,Premier League,Chelsea
505,Alexander Djiku,79,CB,,30,Ghana,Trendyol Süper Lig,Fenerbahçe
506,Cheick Doucouré,79,CDM,CM,24,Mali,Premier League,Crystal Palace
507,Lewis Dunk,79,CB,,32,England,Premier League,Brighton
508,Hugo Duro,79,ST,,24,Spain,LALIGA EA SPORTS,Valencia CF
509,Marcus Edwards,79,RW,"LW, ST, RM",25,England,Liga Portugal,Sporting CP
510,Stephan El Shaarawy,79,LM,"LW, CAM",31,Italy,Serie A Enilive,AS Roma
511,Eljif Elmas,79,CAM,"CM, LW",24,North Macedonia,Bundesliga,RB Leipzig
512,Aritz Elustondo,79,RB,CB,30,Spain,LALIGA EA SPORTS,Real Sociedad
513,Lewis Ferguson,79,CM,CAM,25,Scotland,Serie A Enilive,Bologna
514,Mark Flekken,79,GK,,31,Holland,Premier League,Brentford
515,Emil Forsberg,79,CAM,LM,32,Sweden,MLS,Red Bulls
516,Chris Führich,79,LM,"LW, CAM",26,Germany,Bundesliga,VfB Stuttgart
517,Álvaro García,79,LM,"CAM, LW",31,Spain,LALIGA EA SPORTS,Rayo Vallecano
518,Alejandro Garnacho,79,LM,"RM, LW",20,Argentina,Premier League,Man Utd
519,Lutsharel Geertruida,79,CB,RB,24,Holland,Bundesliga,RB Leipzig
520,Morgan Gibbs-White,79,CAM,RM,24,England,Premier League,Nott'm Forest
521,Carles Gil,79,CAM,RM,31,Spain,MLS,New England
522,Santiago Giménez,79,ST,,23,Mexico,Eredivisie,Feyenoord
523,Moi Gómez,79,CM,"LM, RM",30,Spain,LALIGA EA SPORTS,CA Osasuna
524,João Neves,79,CM,CDM,19,Portugal,Ligue 1 McDonald's,Paris SG
525,Robin Gosens,79,LB,LM,30,Germany,Serie A Enilive,Fiorentina
526,Mason Greenwood,79,RM,"ST, LM, RW",22,England,Ligue 1 McDonald's,OM
527,Guruzeta,79,ST,,28,Spain,LALIGA EA SPORTS,Athletic Club
528,Sébastien Haller,79,ST,,30,Côte d'Ivoire,LALIGA EA SPORTS,CD Leganés
529,Dean Henderson,79,GK,,27,England,Premier League,Crystal Palace
530,Franck Honorat,79,RM,RW,28,France,Bundesliga,M'gladbach
531,Hiroki Ito,79,CB,LB,25,Japan,Bundesliga,FC Bayern München
532,Nicolas Jackson,79,ST,,23,Senegal,Premier League,Chelsea
533,Curtis Jones,79,CM,CAM,23,England,Premier League,Liverpool
534,Luka Jović,79,ST,,26,Serbia,Serie A Enilive,Milano FC
535,İrfan Can Kahveci,79,RW,"CAM, CM, RM",29,Turkey,Trendyol Süper Lig,Fenerbahçe
536,Lukas Klostermann,79,CB,RB,28,Germany,Bundesliga,RB Leipzig
537,Robin Koch,79,CB,,28,Germany,Bundesliga,Frankfurt
538,Sead Kolašinac,79,CB,LB,31,Bosnia and Herzegovina,Serie A Enilive,Bergamo Calcio
539,Geoffrey Kondogbia,79,CM,CDM,31,Central African Republic,Ligue 1 McDonald's,OM
540,Erik Lamela,79,RW,"CAM, RM",32,Argentina,Hellas Liga,AEK Athens
541,Noa Lang,79,LW,"CAM, LM",25,Holland,Eredivisie,PSV
542,Manuel Lazzari,79,RB,,30,Italy,Serie A Enilive,Latium
543,Lee Kang In,79,CAM,"CM, RW",23,Korea Republic,Ligue 1 McDonald's,Paris SG
544,Pierre Lees-Melou,79,CDM,CM,31,France,Ligue 1 McDonald's,Stade Brestois 29
545,Mario Lemina,79,CDM,CM,31,Gabon,Premier League,Wolves
546,Jefferson Lerma,79,CDM,"CM, CB",29,Colombia,Premier League,Crystal Palace
547,Philipp Lienhart,79,CB,,28,Austria,Bundesliga,SC Freiburg
548,Matheus,79,GK,,32,Brazil,Liga Portugal,SC Braga
549,Hugo Lloris,79,GK,,37,France,MLS,LAFC
550,Pedro Neto,79,RW,"LW, ST, RM",24,Portugal,Premier League,Chelsea
551,Anthony Lopes,79,GK,,33,Portugal,Ligue 1 McDonald's,OL
552,Pau López,79,GK,,29,Spain,LALIGA EA SPORTS,Girona FC
553,Castello Lukeba,79,CB,,21,France,Bundesliga,RB Leipzig
554,Dodi Lukébakio,79,RW,"ST, LW, RM",26,Belgium,LALIGA EA SPORTS,Sevilla FC
555,Robert Sánchez,79,GK,,26,Spain,Premier League,Chelsea
556,Ian Maatsen,79,LB,,22,Holland,Premier League,Aston Villa
557,Pablo Maffeo,79,RB,LB,27,Argentina,LALIGA EA SPORTS,RCD Mallorca
558,José Sá,79,GK,,31,Portugal,Premier League,Wolves
559,Omar Marmoush,79,ST,LW,25,Egypt,Bundesliga,Frankfurt
560,Arnau Martínez,79,RB,CB,21,Spain,LALIGA EA SPORTS,Girona FC
561,Adam Marušić,79,LB,RB,31,Montenegro,Serie A Enilive,Latium
562,Jean-Philippe Mateta,79,ST,,27,France,Premier League,Crystal Palace
563,Borja Mayoral,79,ST,,27,Spain,LALIGA EA SPORTS,Getafe CF
564,Chancel Mbemba,79,CB,,30,Congo DR,Ligue 1 McDonald's,OM
565,Callum McGregor,79,CDM,CM,31,Scotland,Scottish Prem,Celtic
566,Medrán,79,CM,CAM,30,Spain,ROSHN Saudi League,Ettifaq FC
567,Nikola Milenković,79,CB,,26,Serbia,Premier League,Nott'm Forest
568,Takumi Minamino,79,CAM,"RM, LM",29,Japan,Ligue 1 McDonald's,AS Monaco
569,Tyrone Mings,79,CB,,31,England,Premier League,Aston Villa
570,Maximilian Mittelstädt,79,LB,LM,27,Germany,Bundesliga,VfB Stuttgart
571,Álex Moreno,79,LB,,31,Spain,Premier League,Nott'm Forest
572,Hidemasa Morita,79,CM,CDM,29,Japan,Liga Portugal,Sporting CP
573,Florentino,79,CDM,CM,25,Portugal,Liga Portugal,SL Benfica
574,Hany Mukhtar,79,CAM,ST,29,Germany,MLS,Nashville SC
575,Nordi Mukiele,79,RB,CB,26,France,Bundesliga,Leverkusen
576,Juan Musso,79,GK,,30,Argentina,LALIGA EA SPORTS,Atlético de Madrid
577,Galeno,79,LM,LW,26,Brazil,Liga Portugal,FC Porto
578,Matt O'Riley,79,CM,"CAM, CDM",23,Denmark,Premier League,Brighton
579,Jonas Omlin,79,GK,,30,Switzerland,Bundesliga,M'gladbach
580,Ayoze Pérez,79,LM,"RM, CAM, LW",31,Spain,LALIGA EA SPORTS,Villarreal CF
581,Mattia Perin,79,GK,,31,Italy,Serie A Enilive,Juventus
582,Matteo Pessina,79,CM,"CDM, CAM",27,Italy,Serie A Enilive,Monza
583,Đorđe Petrović,79,GK,,24,Serbia,Ligue 1 McDonald's,Strasbourg
584,Ethan Pinnock,79,CB,,31,Jamaica,Premier League,Brentford
585,Yeremy Pino,79,LM,"LW, RM",21,Spain,LALIGA EA SPORTS,Villarreal CF
586,Soufiane Rahimi,79,LM,"LW, ST",28,Morocco,United Emirates League,Al Ain FC
587,Gonçalo Ramos,79,ST,,23,Portugal,Ligue 1 McDonald's,Paris SG
588,Antonee Robinson,79,LB,,27,United States,Premier League,Fulham
589,Kaku,79,CAM,CM,29,Paraguay,United Emirates League,Al Ain FC
590,Oriol Romeu,79,CDM,CM,32,Spain,LALIGA EA SPORTS,Girona FC
591,Valentin Rongier,79,CDM,CM,29,France,Ligue 1 McDonald's,OM
592,Frederik Rønnow,79,GK,,32,Denmark,Bundesliga,Union Berlin
593,Gerónimo Rulli,79,GK,,32,Argentina,Ligue 1 McDonald's,OM
594,Julian Ryerson,79,RB,LB,26,Norway,Bundesliga,Borussia Dortmund
595,Pape Matar Sarr,79,CDM,CM,22,Senegal,Premier League,Spurs
596,Gianluca Scamacca,79,ST,,25,Italy,Serie A Enilive,Bergamo Calcio
597,Perr Schuurs,79,CB,,24,Holland,Serie A Enilive,Torino
598,Benjamin Šeško,79,ST,,21,Slovenia,Bundesliga,RB Leipzig
599,Mário Rui,79,LB,,33,Portugal,Serie A Enilive,SSC Napoli
600,Wilfried Singo,79,CB,RB,23,Côte d'Ivoire,Ligue 1 McDonald's,AS Monaco
601,Łukasz Skorupski,79,GK,,33,Poland,Serie A Enilive,Bologna
602,Tomáš Souček,79,CDM,CM,29,Czech Republic,Premier League,West Ham
603,Leonardo Spinazzola,79,LM,"LB, LW",31,Italy,Serie A Enilive,SSC Napoli
604,António Silva,79,CB,,20,Portugal,Liga Portugal,SL Benfica
605,Pietro Terracciano,79,GK,,34,Italy,Serie A Enilive,Fiorentina
606,Martin Terrier,79,ST,LM,27,France,Bundesliga,Leverkusen
607,Kieran Tierney,79,LB,,27,Scotland,Premier League,Arsenal
608,Quinten Timber,79,CM,"CAM, CDM",23,Holland,Eredivisie,Feyenoord
609,Jurriën Timber,79,CB,,23,Holland,Premier League,Arsenal
610,Rafael Tolói,79,CB,,33,Italy,Serie A Enilive,Bergamo Calcio
611,Edin Višća,79,RM,RW,34,Bosnia and Herzegovina,Trendyol Süper Lig,Trabzonspor
612,Nikola Vlašić,79,CAM,"RW, LW",26,Croatia,Serie A Enilive,Torino
613,Aaron Wan-Bissaka,79,RB,,26,England,Premier League,West Ham
614,James Ward-Prowse,79,CM,"CDM, CAM",29,England,Premier League,Nott'm Forest
615,Julian Weigl,79,CDM,CM,29,Germany,Bundesliga,M'gladbach
616,Yoane Wissa,79,LW,"ST, LM",28,Congo DR,Premier League,Brentford
617,Denis Zakaria,79,CDM,CM,27,Switzerland,Ligue 1 McDonald's,AS Monaco
618,Davide Zappacosta,79,LB,"LM, RM",32,Italy,Serie A Enilive,Bergamo Calcio
619,Edon Zhegrova,79,RM,RW,25,Kosovo,Ligue 1 McDonald's,LOSC Lille
620,Oleksandr Zinchenko,79,LB,,27,Ukraine,Premier League,Arsenal
621,Joshua Zirkzee,79,ST,,23,Holland,Premier League,Man Utd
622,Carlos Augusto,79,LM,"LB, LW",25,Brazil,Serie A Enilive,Lombardia FC
623,Saud Abdulhamid,78,RB,,25,Saudi Arabia,Serie A Enilive,AS Roma
624,Tammy Abraham,78,ST,,26,England,Serie A Enilive,Milano FC
625,Tosin Adarabioyo,78,CB,,26,England,Premier League,Chelsea
626,Amine Adli,78,ST,"LM, CAM",24,Morocco,Bundesliga,Leverkusen
627,Joseph Aidoo,78,CB,,28,Ghana,LALIGA EA SPORTS,RC Celta
628,Miguel Almirón,78,RW,RM,30,Paraguay,Premier League,Newcastle Utd
629,Nadiem Amiri,78,CM,CAM,27,Germany,Bundesliga,1. FSV Mainz 05
630,Sofyan Amrabat,78,CDM,CM,28,Morocco,Trendyol Süper Lig,Fenerbahçe
631,Michail Antonio,78,ST,,34,Jamaica,Premier League,West Ham
632,Mauro Arambarri,78,CDM,CM,28,Uruguay,LALIGA EA SPORTS,Getafe CF
633,Cristian Arango,78,ST,CAM,29,Colombia,MLS,Real Salt Lake
634,Benoît Badiashile,78,CB,,23,France,Premier League,Chelsea
635,Antonín Barák,78,CM,CAM,29,Czech Republic,Serie A Enilive,Fiorentina
636,Ricardo Pereira,78,RB,,30,Portugal,Premier League,Leicester City
637,Melvin Bard,78,LB,LM,23,France,Ligue 1 McDonald's,OGC Nice
638,Ross Barkley,78,CM,CAM,30,England,Premier League,Aston Villa
639,Marc Bartra,78,CB,,33,Spain,LALIGA EA SPORTS,Real Betis
640,Maximilian Beier,78,ST,LW,21,Germany,Bundesliga,Borussia Dortmund
641,Andrea Belotti,78,ST,,30,Italy,Serie A Enilive,Como
642,Fran Beltrán,78,CDM,CM,25,Spain,LALIGA EA SPORTS,RC Celta
643,Saïd Benrahma,78,LW,LM,29,Algeria,Ligue 1 McDonald's,OL
644,Ramy Bensebaini,78,LB,CB,29,Algeria,Bundesliga,Borussia Dortmund
645,Nabil Bentaleb,78,CDM,CM,29,Algeria,Ligue 1 McDonald's,LOSC Lille
646,Mergim Berisha,78,ST,,26,Germany,Bundesliga,TSG Hoffenheim
647,Jan-Niklas Beste,78,LM,"RM, LB, LW",25,Germany,Liga Portugal,SL Benfica
648,Veljko Birmančević,78,RW,"LW, RM",26,Serbia,Česká Liga,Sparta Praha
649,Olivier Boscagli,78,CB,,26,France,Eredivisie,PSV
650,Lilian Brassier,78,CB,,24,France,Ligue 1 McDonald's,OM
651,Ante Budimir,78,ST,,33,Croatia,LALIGA EA SPORTS,CA Osasuna
652,Emiliano Buendía,78,RM,"CAM, RW",27,Argentina,Premier League,Aston Villa
653,Roman Bürki,78,GK,,33,Switzerland,MLS,St. Louis CITY SC
654,Dan Burn,78,CB,LB,32,England,Premier League,Newcastle Utd
655,Nélson Semedo,78,RB,,30,Portugal,Premier League,Wolves
656,Riccardo Calafiori,78,CB,LB,22,Italy,Premier League,Arsenal
657,Maxence Caqueret,78,CM,CDM,24,France,Ligue 1 McDonald's,OL
658,Daniel Podence,78,LM,"ST, CAM, LW",28,Portugal,ROSHN Saudi League,Al Shabab
659,Trevoh Chalobah,78,CB,RB,25,England,Premier League,Crystal Palace
660,Andrea Colpani,78,CAM,RM,25,Italy,Serie A Enilive,Fiorentina
661,Murillo,78,CB,,22,Brazil,Premier League,Nott'm Forest
662,Vladimír Coufal,78,RB,,32,Czech Republic,Premier League,West Ham
663,Kerem Demirbay,78,CM,"CDM, CAM",31,Germany,Trendyol Süper Lig,Galatasaray
664,Kiernan Dewsbury-Hall,78,CM,"CAM, CDM",26,England,Premier League,Chelsea
665,Dénes Dibusz,78,GK,,33,Hungary,Magyar Liga,Ferencvárosi TC
666,Ousmane Diomande,78,CB,,20,Côte d'Ivoire,Liga Portugal,Sporting CP
667,Berat Djimsiti,78,CB,,31,Albania,Serie A Enilive,Bergamo Calcio
668,Marko Dmitrović,78,GK,,32,Serbia,LALIGA EA SPORTS,CD Leganés
669,Ritsu Doan,78,RM,"CAM, ST, RW",26,Japan,Bundesliga,SC Freiburg
670,Danilho Doekhi,78,CB,,26,Holland,Bundesliga,Union Berlin
